Modelo,PR-AUC,ROC-AUC,Recall@P90,F1-óptimo,Alertas/día (BRS),Fraude detectado/día (BRS),% Fraude no detectado
Logistic Regression,0.6462,0.9687,0.4286,0.5965,17,13,51.4
XGBoost,0.843,0.9893,0.5429,0.8286,26,22,17.1
